Signal,Ratio,Status,Risk Score,20D %,50D %,100D %,Dist MA50 %
Small Cap Risk Appetite,IWM/SPY,Bullish,1,4.63081352271848,2.528985007258022,3.5694258357998887,2.4343989774452846
Market Breadth,RSP/SPY,Neutral,0,2.4682123788169363,-3.779362817266607,-1.8815056365983462,0.3428333498684877
Credit Risk Appetite,HYG/IEF,Neutral,0,-0.4600090849620986,1.1448898546357666,1.093663505093434,0.22864214604145783
Long Bonds vs Stocks,TLT/SPY,Neutral,0,3.024915600660427,-8.961424600996558,-7.4456936503703774,-0.7281545399419165
Gold vs Stocks,GLD/SPY,Bearish,1,-7.788929925797383,-19.219942832281454,-22.807050400391894,-9.574546042570987
Commodities vs Stocks,DBC/SPY,Bearish,0,-11.792677429866206,-13.021453692537865,4.512733819256343,-10.16323509253837
