Sector,Ticker,Type,Status,RS Score,20D RS %,50D RS %,100D RS %,Dist MA50 %,Above MA20 Days,Below MA20 Days,Rank,Rank 20D Ago,Rank 50D Ago,20D Rank Change,50D Rank Change
Consumer Discretionary,XLY,Cyclical,Deteriorating,-0.04550828985154297,-1.2779048249553782,-4.18229338196473,-11.107651372678928,-2.6966147996624112,1.0,9.0,6,6,11,0,5
Communication Services,XLC,Growth,Deteriorating,-0.10240856628893187,-5.813559714254202,-12.374884462768954,-13.187063603290937,-6.634305960510312,0.0,10.0,10,10,9,0,-1
Energy,XLE,Cyclical,Deteriorating,-0.110859218217382,-11.14920441921381,-16.526485082462415,1.2660900604736014,-9.008870602481922,3.0,7.0,11,2,1,-9,-10
